2024年入库科技型中小企业名单（以下数据仅限于科技型中小企业评价工作的相关应用，严禁数据公开或用于其他任何非授权目的）,,,,,
2156,河南俊源新材料有限公司,,,,
2157,河南烯力新材料科技有限公司,,,,
2158,洛阳升华感应加热股份有限公司,,,,
2159,河南天域信息网络技术有限公司,,,,
2160,河南瑞贝佳生物科技有限公司,,,,
2161,河南一膜环保技术有限公司,,,,
2162,焦作康耀光电科技有限公司,,,,
2163,新乡市新机创新机械有限公司,,,,
2164,河南省信阳市鑫俊豪保温建材有限公司,,,,
2165,河南豫珠恒力生物科技有限责任公司,,,,
2166,河南科恩超硬材料技术有限公司,,,,
2167,河南恒丰钢缆有限公司,,,,
2168,河南泽岸数字科技有限公司,,,,
2169,河南雨木科技有限公司,,,,
2170,河南优粮生物科技有限公司,,,,
2171,河南盛和食品有限公司,,,,
2172,商丘市宇工机械有限公司,,,,
2173,河南超远阀门制造有限公司,,,,
2174,河南苏翔钢缆有限公司,,,,
2175,河南亿丰电子新材料有限公司,,,,
2176,郑州市欧普士科技有限公司,,,,
2177,洛阳禾频机械科技有限公司,,,,
2178,南阳市龙升瑞科石油机械制造有限公司,,,,
2179,大象科技孵化器（河南）有限公司,,,,
2180,河南康贝欣生物医药科技有限公司,,,,
2181,好嗨油能源科技（河南）有限公司,,,,
2182,新乡市博源生物科技有限公司,,,,
2183,郑州华之恒包装科技有限公司,,,,
2184,洛阳京乐办公家具有限公司,,,,
2185,郑州市豫香食品发展有限公司,,,,
2186,河南集象信息技术有限公司,,,,
2187,温县红田实业有限公司,,,,
2188,云柏奥生物科技有限公司,,,,
2189,洛阳凯林铸材有限公司,,,,
2190,河南许智电力科技有限公司,,,,
2191,河南奇测电子科技有限公司,,,,
2192,沈丘县恒瑞特种网业有限公司,,,,
2193,河南中帅药业有限公司,,,,
2194,河南科沃有机硅有限公司,,,,
2195,新县华隆茶业有限公司,,,,
2196,商丘润泰工贸有限公司,,,,
2197,河南智微电子有限公司,,,,
2198,河南博耘思传媒科技有限公司,,,,
2199,郑州简而不凡科技有限公司,,,,
2200,河南方舟医疗器械有限公司,,,,
2201,洛阳沃尔德难熔金属有限公司,,,,
2202,河南仁合汇金化工有限公司,,,,
2203,河南兴源电力设备有限公司,,,,
2204,洛阳熔石新材料科技有限公司,,,,
2205,南阳衍生信息技术有限公司,,,,
2206,河南盛世灵匠信息安全有限公司,,,,
2207,新乡市丰硕农业机械有限公司,,,,
2208,河南永迈环保科技有限公司,,,,
2209,河南劲拓数控机床有限公司,,,,
2210,河南省长隆食品有限责任公司,,,,
2211,河南缤纷年代文化传播有限公司,,,,
2212,河南安德莉亚食品有限公司,,,,
2213,郑州永越电子科技有限公司,,,,
2214,河南久陆诚信环境检测有限公司,,,,
2215,河南长塑管业有限公司,,,,
2216,河南快一信息科技有限公司,,,,
2217,鹤壁万丰矿山机械制造有限公司,,,,
2218,洛阳百思特精密机械制造有限公司,,,,
2219,河南省耀辰化妆用具有限公司,,,,
2220,河南光灿新能源科技有限公司,,,,
2221,河南巨天钢构工程有限公司,,,,
2222,河南华瑞消防服务有限公司,,,,
2223,开封市三丰催化剂有限责任公司,,,,
2224,洛阳鸿业信息科技有限公司,,,,
2225,漯河聚隆生物科技有限公司,,,,
2226,中原智慧城市设计研究院有限公司,,,,
2227,新郑市源衡水务有限公司,,,,
2228,郑州泽贤信息技术有限公司,,,,
2229,河南缔开数字科技有限公司,,,,
2230,禾旭（郑州）生物技术有限公司,,,,
2231,河南智祥科技孵化器有限公司,,,,
2232,翔盛（河南）检测科技有限公司,,,,
2233,鸿卓乐学信息科技河南有限公司,,,,
2234,河南鸿洲生物科技有限公司,,,,
2235,信阳市益金益科实业有限公司,,,,
2236,洛阳市烨兴特钢制品有限公司,,,,
2237,优奈新材料（河南）有限公司,,,,
2238,河南崇越新材料科技有限公司,,,,
2239,河南中米生态科技有限公司,,,,
2240,河南人和通讯科技有限公司,,,,
2241,河南中玖科创技术服务有限公司,,,,
2242,郑州照星商贸有限公司,,,,
2243,郑州盾构机电设备有限公司,,,,
2244,河南大恒建工集团有限公司,,,,
2245,洛阳巴库生物科技有限公司,,,,
2246,郑州七维智控科技有限公司,,,,
2247,许昌小鱼网络科技有限公司,,,,
2248,三门峡环宇生化科技有限公司,,,,
2249,河南彬海胶印制品有限公司,,,,
2250,河南濮大智能科技有限公司,,,,
2251,洛阳恒锐测控科技有限公司,,,,
2252,国丰建设集团有限公司,,,,
2253,许昌启力电气有限公司,,,,
2254,河南谊善车灯制造有限公司,,,,
2255,河南嘉美包装有限公司,,,,
2256,三门峡凯特耐火纤维有限责任公司,,,,
2257,河南基正信息工程咨询监理有限公司,,,,
2258,洛阳中栾实业有限公司,,,,
2259,郑州国研环保科技有限公司,,,,
2260,洛阳南意测控科技有限公司,,,,
2261,商丘金蓬实业股份有限公司,,,,
2262,河南迈森特精密筛分过滤技术有限公司,,,,
2263,郑州格物至微科技有限公司,,,,
2264,中机洛阳精密装备科技股份有限公司,,,,
2265,济源市天合特钢锻压有限公司,,,,
2266,郏县瑞峰建筑工程有限公司,,,,
2267,郑州发斯泰电子科技有限公司,,,,
2268,河南尚夏品韵文化传媒有限公司,,,,
2269,河南省李芳生态循环农业开发有限公司,,,,
2270,河南鲁东路桥工程有限公司,,,,
2271,河南天缘新材料有限公司,,,,
2272,周口佳菲塑胶有限公司,,,,
2273,河南空港雅尚智能家具有限公司,,,,
2274,项城市锐创工贸有限公司,,,,
2275,河南引启电力科技有限公司,,,,
2276,河南茂琼环保科技有限公司,,,,
2277,洛阳峰东电子科技有限公司,,,,
2278,许昌迈科思电力设备有限公司,,,,
2279,义马瑞辉新材料有限公司,,,,
2280,南阳市中兴新能源科技有限公司,,,,
2281,河南康盈环保科技有限公司,,,,
2282,洛阳福宝办公家俱有限公司,,,,
2283,新乡美达高频电子有限公司,,,,
2284,河南护理佳纸业热力有限公司,,,,
2285,河南亚起亚建筑材料有限公司,,,,
2286,郑州华路天成信息技术有限公司,,,,
2287,河南弘毅网络科技有限公司,,,,
2288,莫旋建设工程有限公司,,,,
2289,驻马店幻影网络科技有限公司,,,,
2290,商丘金迈食品有限公司,,,,
2291,河南三圣电子科技有限公司,,,,
2292,河南大树实业有限公司,,,,
2293,郑州浩丞科技有限公司,,,,
2294,河南嘉园农产科技有限公司,,,,
2295,郑州晓在科创产业发展有限公司,,,,
2296,郑州精铖智能技术有限公司,,,,
2297,三门峡朝阳生物科技股份有限公司,,,,
2298,河南万鼎司辅网络科技有限公司,,,,
2299,南阳坤威实业有限公司,,,,
2300,洛阳绿潮环保科技有限公司,,,,
2301,河南省蓝洲环境科技有限公司,,,,
2302,驻马店广汇车桥有限公司,,,,
2303,河南安晟信息技术有限公司,,,,
2304,新乡市高正精密机械有限公司,,,,
2305,河南尉通笼具畜牧设备有限公司,,,,
2306,洛阳恒毅信息科技有限公司,,,,
2307,郑州凯尔思电子科技有限公司,,,,
2308,河南华序科技有限公司,,,,
2309,河南旭文服装有限公司,,,,
2310,洛阳迪普信息科技有限公司,,,,
2311,郑州惠林化工有限公司,,,,
2312,河南自然空间规划设计有限公司,,,,
2313,河南众晟复合材料有限公司,,,,
2314,河南斯特尔科技有限公司,,,,
2315,河南本恒建设工程有限公司,,,,
2316,河南省水利基本建设工程质量检测中心站,,,,
2317,南阳市鑫特电气有限公司,,,,
2318,郑州社圈网络科技有限公司,,,,
2319,河南数岸科技运营有限公司,,,,
2320,信阳仟胜电子科技有限公司,,,,
2321,河南中捷供应链管理有限公司,,,,
2322,河南恒茂创远科技股份有限公司,,,,
2323,南阳法利来轴承有限公司,,,,
2324,河南优业聚信息技术服务有限公司,,,,
2325,洛阳地山机械设备有限公司,,,,
2326,河南创凯实业有限公司,,,,
2327,河南旭达汽车电气有限公司,,,,
2328,洛阳中嘉控制技术有限公司,,,,
2329,河南航投优翼航空技术有限公司,,,,
2330,许昌鸿洋生化实业发展有限公司,,,,
2331,焦作市名泽磁业有限公司,,,,
2332,河南省葛天环境检测有限公司,,,,
2333,义马煤业集团煤生化高科技工程有限公司,,,,
2334,河南崇森塑胶科技有限公司,,,,
2335,郑州盈和软件技术有限公司,,,,
2336,河南昌达工贸有限公司,,,,
2337,河南丰安新材料科技有限公司,,,,
2338,郑州赛伦科技有限公司,,,,
2339,河南康康食品有限公司,,,,
2340,河南华冠种业有限公司,,,,
2341,洛阳绿潮腾烨智能装备有限公司,,,,
2342,河南天蚕富煌钢结构有限公司,,,,
2343,方城县恒旺万通农牧有限公司,,,,
2344,濮阳光大路桥混凝土有限公司,,,,
2345,洛阳市黄河软轴控制器股份有限公司,,,,
2346,焦作市松发建材有限公司,,,,
2347,漯河豫鼎源食品工业有限公司,,,,
2348,河南阿洛克航空工业有限公司,,,,
2349,沈丘县三兴机械科技有限公司,,,,
2350,河南天平工程质量检测有限公司,,,,
2351,焦作咏春塑胶有限公司,,,,
2352,洛阳市生产力促进中心有限公司,,,,
2353,博爱县天翅农业科技发展有限公司,,,,
2354,河南通航无人机科技有限公司,,,,
2355,开封朗瑞机械有限公司,,,,
2356,金穗机电设备有限公司,,,,
2357,河南熠阳包装制品有限公司,,,,
2358,华鸣科技有限公司,,,,
2359,郑州迪时数据技术有限公司,,,,
2360,河南宝合元汽车配件有限公司,,,,
2361,洛阳亚邦车辆附件有限公司,,,,
2362,商丘市乡味浓食品有限公司,,,,
2363,河南盛世恒信科技有限公司,,,,
2364,洛阳道熹机械有限公司,,,,
2365,游盛数字科技（洛阳）有限公司,,,,
2366,正阳县新天地草业有限公司,,,,
2367,河南方元网业科技有限公司,,,,
2368,河南晓畅信息科技有限公司,,,,
2369,河南中平交科研究设计院有限公司,,,,
2370,郑州新光源电子科技工程有限公司,,,,
2371,南阳富新特光电科技有限公司,,,,
2372,河南清正科技发展有限公司,,,,
2373,郑州迅良电子科技有限公司,,,,
2374,河南安达新材料科技有限公司,,,,
2375,郑州琳洪信息技术有限公司,,,,
2376,河南合瑞电气有限公司,,,,
2377,河南恒冠卓科技有限公司,,,,
2378,商丘晴赢软件科技有限公司,,,,
2379,洛阳优特威车业有限公司,,,,
2380,河南天鸿新材料科技有限公司,,,,
2381,河南商开智能科技股份有限公司,,,,
2382,洛阳镁铝耐火材料有限公司,,,,
2383,河南贝斯莱特照明有限公司,,,,
2384,郸城县威盛电子有限公司,,,,
2385,河南低碳节能减排技术开发有限公司,,,,
2386,郑州远控智能科技有限公司,,,,
2387,河南崇创实业有限公司,,,,
2388,郑楷集团有限公司,,,,
2389,河南腾宇生物科技有限公司,,,,
2390,许昌暖之郎能源科技有限公司,,,,
2391,中衍设计集团有限公司,,,,
2392,河南远程药业有限公司,,,,
2393,许昌昌龙电气股份有限公司,,,,
2394,洛阳好味道食品有限公司,,,,
2395,河南木壳网络科技有限公司,,,,
2396,新乡市俱进机电有限公司,,,,
2397,洛阳市誉龙净水材料有限公司,,,,
2398,河南蓝通信息技术有限公司,,,,
2399,河南育光智能科技有限公司,,,,
2400,河南璟鸿数据科技有限责任公司,,,,
2401,中食创客（河南）食品科技有限公司,,,,
2402,林州市耐特新能源有限公司,,,,
2403,郑州科富锐科技有限责任公司,,,,
2404,河南省联众智能系统有限公司,,,,
2405,河南视群数字科技有限公司,,,,
2406,河南康众电子科技有限公司,,,,
2407,许昌默尔电气有限公司,,,,
2408,河南兰堡湾涂料科技有限公司,,,,
2409,南阳国宇实业有限公司,,,,
2410,河南弘扬电气设备有限公司,,,,
2411,河南经方云科技有限公司,,,,
2412,河南淑平养老服务有限公司,,,,
2413,河南鲁雪信息科技有限公司,,,,
2414,河南省信大新型成像技术中心有限公司,,,,
2415,洛阳点晶智控科技有限公司,,,,
2416,三门峡市高瑞生物技术有限公司,,,,
2417,河南泰正电子科技有限公司,,,,
2418,中比新能源（商丘）有限公司,,,,
2419,新乡西玛鼓风机股份有限公司,,,,
2420,洛阳安丰环保设备有限公司,,,,
2421,鲁山天诺炉衬材料有限公司,,,,
2422,河南省弘茂新材料有限公司,,,,
2423,郑州融旺电子科技有限公司,,,,
2424,鄢陵彩达油墨有限公司,,,,
2425,郑州木盛信息科技有限公司,,,,
2426,洛阳峻乾机械有限公司,,,,
2427,洛阳环冶机械设备有限公司,,,,
2428,河南省金盾鞋业有限公司,,,,
2429,河南博泽汽车电器有限公司,,,,
2430,汝南县信念食品有限公司,,,,
2431,河南云游秋供应链管理有限公司,,,,
2432,河南万天信息科技有限公司,,,,
2433,河南太行化工科技有限公司,,,,
2434,河南省宏德粮油机械有限公司,,,,
2435,河南元宇宙创业服务有限公司,,,,
2436,河南长安交通科技发展有限公司,,,,
2437,郑州方铭高温陶瓷新材料有限公司,,,,
2438,河南荣兴电气有限公司,,,,
2439,郑州若叶生物科技有限公司,,,,
2440,河南亘邦科技有限公司,,,,
2441,河南旌博电力工程安装有限公司,,,,
2442,漯河森帆工贸有限公司,,,,
2443,河南大明建筑设计有限公司,,,,
2444,河南力天建设有限公司,,,,
2445,洛阳峰渡电子商务有限公司,,,,
2446,众科家具集团有限公司,,,,
2447,洛阳正扬冶金技术股份有限公司,,,,
2448,赛伯克斯工业科技（洛阳）有限公司,,,,
2449,河南八六三科技产业园有限公司,,,,
2450,河南九思通信息技术有限公司,,,,
2451,登封市金翔耐火材料有限公司,,,,
2452,新乡市鑫锋机械有限公司,,,,
2453,河南省皮革塑料研究所有限公司,,,,
2454,郑州春泉节能股份有限公司,,,,
2455,南阳镀创光电科技有限公司,,,,
2456,河南思航润滑材料有限公司,,,,
2457,河南金润源建材科技有限公司,,,,
2458,河南绿丰环保工程有限公司,,,,
2459,河南昶宇新材料科技有限公司,,,,
2460,河南赛诺优农科技有限公司,,,,
2461,河南格润新能源科技有限公司,,,,
2462,河南展进实业有限公司,,,,
2463,中汇大通科技有限公司,,,,
2464,洛阳市星之空里科技培训有限公司,,,,
2465,河南鹏庆塑业有限公司,,,,
2466,河南盛捷检测技术有限公司,,,,
2467,巩义顺圆陶粒砂有限公司,,,,
2468,河南政检检测研究院有限公司,,,,
2469,郑州福源动物药业有限公司,,,,
2470,安阳市腾瑞节能设备有限公司,,,,
2471,河南驰昶智能科技有限公司,,,,
2472,焦作智造机电设备有限公司,,,,
2473,河南省中威新塘羽绒有限公司,,,,
2474,河南省高校新技术有限公司,,,,
2475,郑州信大云谷科技有限公司,,,,
2476,中数（河南）数字技术有限公司,,,,
2477,河南安必诺检测技术有限公司,,,,
2478,新乡新东微电子研究院有限公司,,,,
2479,焦作荣利达食品有限公司,,,,
2480,信阳炜盛电子科技有限公司,,,,
2481,郑州谓凡智能科技有限公司,,,,
2482,上海沪联生物药业（夏邑）股份有限公司,,,,
2483,郑州千百视光电科技股份有限公司,,,,
2484,智烁（洛阳）金属制品有限公司,,,,
2485,河南木兰花软件开发有限公司,,,,
2486,河南环飞信息科技有限公司,,,,
2487,河南德恩医疗科技股份有限公司,,,,
2488,郑州兆通电子科技有限公司,,,,
2489,项城市恋姿兰服装有限公司,,,,
2490,郑州市怀揣梦想的少年网络科技有限公司,,,,
2491,洛阳全通窑业有限公司,,,,
2492,春宾电缆集团有限公司,,,,
2493,济源市兴联实业有限公司,,,,
2494,河南星安智能科技有限公司,,,,
2495,希迪克康养产业发展有限公司,,,,
2496,河南灿银新材料科技有限公司,,,,
2497,河南三创起重电气有限公司,,,,
2498,河南恒大电梯有限公司,,,,
2499,郑州裕健机电工程有限公司,,,,
2500,南阳汇捷光电科技有限公司,,,,
2501,河南联鑫化工有限公司,,,,
2502,河南国顺建筑工程有限公司,,,,
2503,新野县裕康面业有限责任公司,,,,
2504,郑州动量科技有限公司,,,,
2505,河南国测信息技术有限公司,,,,
2506,河南智能卫星软件研究院有限公司,,,,
2507,河南越汇食品科技有限公司,,,,
2508,郑州赛福特电子设备有限公司,,,,
2509,河南西岛医疗科技有限公司,,,,
2510,河南泰利通科技有限公司,,,,
2511,河南盛泰电机有限公司,,,,
2512,河南浩海建设集团有限公司,,,,
2513,郑州联睿电子科技有限公司,,,,
2514,郑州鸿戈网络科技有限公司,,,,
2515,焦作众成新材料有限责任公司,,,,
2516,万弘建设集团有限公司,,,,
2517,河南易成计量检测有限公司,,,,
2518,郑州原理生物科技有限公司,,,,
2519,河南辉煌软件有限公司,,,,
2520,河南蓝信软件有限公司,,,,
2521,河南鼎之力环保科技有限公司,,,,
2522,济源恒丰科技发展有限公司,,,,
2523,河南万鲸科技有限公司,,,,
2524,洛阳宅匠建筑工程有限公司,,,,
2525,郑州天威自动化设备有限公司,,,,
2526,雪城数智科技（河南）有限公司,,,,
2527,郑州优波科新材料股份有限公司,,,,
2528,众智学府信息技术有限公司,,,,
2529,河南西岛仪表研发有限公司,,,,
2530,河南新航航空设备科技有限公司,,,,
2531,河南本质安全科技有限公司,,,,
2532,河南精康制药有限公司,,,,
2533,洛阳昶帆钨钼科技有限公司,,,,
2534,鹤壁润田生物科技有限公司,,,,
2535,禹州市渲和工艺品有限公司,,,,
2536,河南讯丰信息技术有限公司,,,,
2537,泽鹿视界数字科技（郑州）有限公司,,,,
2538,河南盛之安电力科技有限公司,,,,
2539,郑州力之天农业科技有限公司,,,,
2540,河南成楠电子科技有限公司,,,,
2541,伽码空间信息技术（河南）有限公司,,,,
2542,河南省汇隆精密设备制造股份有限公司,,,,
2543,郑州奥佳信息科技有限公司,,,,
2544,河南八六三企业孵化运营服务有限公司,,,,
2545,河南中元自动化控制系统有限公司,,,,
2546,郑州中米信息科技有限公司,,,,
2547,洛阳德泽精工科技有限公司,,,,
2548,郑州智拓生物科技有限公司,,,,
2549,郑州康润流体设备有限公司,,,,
2550,河南众人农业科技有限公司,,,,
2551,郑州品兴物联网科技有限公司,,,,
2552,河南中泰工程咨询监理有限公司,,,,
2553,河南海天环境科技有限公司,,,,
2554,林州嘉诚机械制造有限公司,,,,
2555,郑州迪诺文化传媒有限公司,,,,
2556,河南德圣种业有限公司,,,,
2557,河南云鲸信息技术有限公司,,,,
2558,项城市润德食品有限公司,,,,
2559,河南天昊鸿发生物技术有限公司,,,,
2560,新乡市应用细胞库有限公司,,,,
2561,郑州金诚信筛网设备有限公司,,,,
2562,河南富嘉流体控制技术有限公司,,,,
2563,河南联合环保科技股份有限公司,,,,
2564,河南见面礼实业发展有限公司,,,,
2565,河南大道工业装备有限公司,,,,
2566,河南流量新材料有限公司,,,,
2567,河南睿英生物技术有限公司,,,,
2568,华顺勘测设计集团有限公司,,,,
2569,河南同协精工有限公司,,,,
2570,河南绿匠人造草坪有限公司,,,,
2571,郑州景源广告设备有限公司,,,,
2572,河南中桥重工科技有限公司,,,,
2573,郑州润佑家具有限公司,,,,
2574,洛阳时雨润物精密轴承有限公司,,,,
2575,河南灵禹信息工程有限公司,,,,
2576,郑州郑大可飞科技有限公司,,,,
2577,丰泽智慧科技有限公司,,,,
2578,哈勃智能科技（郑州）有限公司,,,,
2579,郑州华沃生物科技有限公司,,,,
2580,河南星辰物联科技有限公司,,,,
2581,信阳市融海实业有限公司,,,,
2582,河南政企云计算有限公司,,,,
2583,河南冠晶半导体科技有限公司,,,,
2584,洛阳五娟智能科技有限公司,,,,
2585,郑州云飞扬信息技术有限公司,,,,
2586,河南明道优术智能技术有限公司,,,,
2587,郑州维普斯机械设备有限公司,,,,
2588,河南德鑫电气有限公司,,,,
2589,郑州市普惠环保技术有限公司,,,,
2590,洛阳翔旭钨钼科技有限公司,,,,
2591,恒信咨询管理有限公司,,,,
2592,河南省瑞扬科技有限公司,,,,
2593,河南大明生物工程有限公司,,,,
2594,河南华炬生物工程有限公司,,,,
2595,郑州易赛诺数字科技有限公司,,,,
2596,郑州衡量科技股份有限公司,,,,
2597,洛阳泰纳克高温仪器设备有限公司,,,,
2598,洛阳宏联新材料科技有限公司,,,,
2599,郑州爱普锐智能高科股份有限公司,,,,
2600,河南创新研霖食品科技有限公司,,,,
2601,河南振辉软件科技有限公司,,,,
2602,河南易元信息科技有限公司,,,,
2603,桐柏山野茶开发有限公司,,,,
2604,河南江威健康科技股份有限公司,,,,
2605,济源市致远电子科技有限公司,,,,
2606,河南兰幻软件技术有限公司,,,,
2607,河南晶泰航空航天高新材料科技有限公司,,,,
2608,河南护理佳实业有限公司,,,,
2609,河南省亚安绝缘材料厂有限公司,,,,
2610,河南冠卿实业有限公司,,,,
2611,云知声（信阳）数字科技有限公司,,,,
2612,河南康河智能设备有限公司,,,,
2613,郑州欧卡商贸有限公司,,,,
2614,郑州中道生物技术有限公司,,,,
2615,河南致远制冷设备有限公司,,,,
2616,河南江之威实业集团有限公司,,,,
2617,郑州大通专利商标代理有限公司,,,,
2618,南阳德之鑫数控设备有限公司,,,,
2619,郑州马飞电子技术有限公司,,,,
2620,郑州云幻科技有限公司,,,,
2621,河南联顺食品有限公司,,,,
2622,盛煜菊园（新县）农业科技有限公司,,,,
2623,河南盛世达防腐工程有限公司,,,,
2624,禹州市厚生堂中药有限公司,,,,
2625,河南中欣教育科技有限公司,,,,
2626,河南创申环保科技有限公司,,,,
2627,河南全印检测技术有限公司,,,,
2628,河南航宇种业有限公司,,,,
2629,平顶山市慧鑫源生物科技有限公司,,,,
2630,中诚国联（河南）生物科技有限公司,,,,
2631,河南省南街村高新农业科技有限公司,,,,
2632,周口代码风暴软件科技有限责任公司,,,,
2633,新乡市时瑞公路养护技术有限公司,,,,
2634,河南金港节能建材有限公司,,,,
2635,鲁山县祥亿通工贸有限公司,,,,
2636,河南智售宝智能科技有限公司,,,,
2637,郑州迪生仪器仪表有限公司,,,,
2638,河南群博药物研究院有限公司,,,,
2639,郑州鸡大哥调味品有限公司,,,,
2640,河南方正智慧城市信息发展有限公司,,,,
2641,南召县兴利达岗石有限公司,,,,
2642,郑州非尔特网毯有限公司,,,,
2643,新乡市大班家具实业有限公司,,,,
2644,郑州吉尔康消毒制品有限公司,,,,
2645,河南鑫驰信息技术有限公司,,,,
2646,鹤壁佳禾生物科技有限公司,,,,
2647,福融容国际供应链科技集团有限公司,,,,
2648,河南金钟光电科技有限公司,,,,
2649,河南广谘聚能电力设计咨询有限公司,,,,
2650,河南好掌柜网络科技有限公司,,,,
2651,郑州华智机电科技有限公司,,,,
2652,赤天化科技集团有限公司,,,,
2653,海空智能科技（洛阳）有限公司,,,,
2654,河南誉博科技有限公司,,,,
2655,西平县恒明服饰科技有限公司,,,,
2656,河南天成鸽业有限公司,,,,
2657,河南安永科技信息咨询服务有限公司,,,,
2658,郑州西利康新材料有限公司,,,,
2659,郑州惠泽商砼实业有限公司,,,,
2660,河南氮硼新材料科技有限公司,,,,
2661,河南洛多卫浴有限公司,,,,
2662,新野县云龙消防器材有限公司,,,,
2663,郑州镓顺机械设备有限公司,,,,
2664,莲花医疗用品有限公司,,,,
2665,河南天缘精工模具股份有限公司,,,,
2666,河南轻睿新材料有限公司,,,,
2667,南阳市三丰消防器材有限公司,,,,
2668,濮阳市鲁蒙玻璃制品有限公司,,,,
2669,河南品思建筑工程有限公司,,,,
2670,郑州京笑信息科技有限公司,,,,
2671,河南鼎研泽田农业科技开发有限公司,,,,
2672,洛阳源和科技有限公司,,,,
2673,郑州市数字政通信息技术有限公司,,,,
2674,河南春实生态农业发展有限公司,,,,
2675,郑州珂玛影视光电有限公司,,,,
2676,新乡市冉旭包装材料有限公司,,,,
2677,郑州众天面业有限公司,,,,
2678,河南元辰时空数字科技有限公司,,,,
2679,河南绿友环境科技有限公司,,,,
2680,轴域（洛阳）新材料科技有限公司,,,,
2681,河南恒亘建设集团有限公司,,,,
2682,河南金数网科信息技术有限公司,,,,
2683,河南沃金游乐设备有限公司,,,,
2684,巩义市新奥电源设备有限公司,,,,
2685,河南凤之乾建材有限公司,,,,
2686,河南春拓立体绿化科技有限公司,,,,
2687,许昌业恒磁选设备有限公司,,,,
2688,河南铨宝电子有限公司,,,,
2689,河南智盛云链信息技术有限公司,,,,
2690,河南诚銮信息技术有限公司,,,,
2691,郑州双利企业管理咨询有限公司,,,,
2692,河南寅森戌商贸有限公司,,,,
2693,郑州嫦娥软件有限公司,,,,
2694,河南物华农业发展有限公司,,,,
2695,河南裕盛益民食品有限公司,,,,
2696,郑州同鑫制冷设备有限公司,,,,
2697,河南海正电子科技有限公司,,,,
2698,河南豫辉信息科技有限公司,,,,
2699,驻马店恒久新型耐磨材料有限公司,,,,
2700,焦作市高招镁合金有限公司,,,,
2701,河南长业智能科技发展有限公司,,,,
2702,河南从迈信息科技有限公司,,,,
2703,河南省路科威公路机械制造有限公司,,,,
2704,河南省天和泰实业有限公司,,,,
2705,焦作市焦冷氨阀有限公司,,,,
2706,新野旭润光电科技有限公司,,,,
2707,登封市启明轩程控设备有限公司,,,,
2708,河南万恒塑胶有限公司,,,,
2709,大鱼视觉技术（河南）有限公司,,,,
2710,河南讯诚供应链管理有限公司,,,,
2711,河南博之众科技有限公司,,,,
2712,镇平县广智工艺品有限公司,,,,
2713,河南万达化工设备有限公司,,,,
2714,河南中核氯氨阀门科技股份有限公司,,,,
2715,焦作市星源机械制造有限公司,,,,
2716,漯河中凯科技创新服务有限公司,,,,
2717,洛阳市福悦实业有限公司,,,,
2718,河南辉鼎供应链管理有限公司,,,,
2719,南阳易鑫实业有限公司,,,,
2720,河南奔潮智能科技有限公司,,,,
2721,卫辉市佳乐美数码科技有限公司,,,,
2722,河南迅通新能源有限公司,,,,
2723,漯河龙回首实业有限公司,,,,
2724,河南长卿信息科技有限公司,,,,
2725,许继时代技术有限公司,,,,
2726,河南省众邦伟业科技有限公司,,,,
2727,郑州大宇翔软件技术有限公司,,,,
2728,郑州畅联软件技术有限公司,,,,
2729,河南全过程工程研究院有限公司,,,,
2730,洛阳君山制药有限公司,,,,
2731,河南兴锐农牧科技有限公司,,,,
2732,河南省华天建光电有限公司,,,,
2733,河南省火车头农业技术有限公司,,,,
2734,河南宝泉电力设备制造有限公司,,,,
2735,河南鸿昌电子有限公司,,,,
2736,漯河市保发纸业包装有限公司,,,,
2737,西峡县森驰汽车配件有限公司,,,,
2738,郑州市乡得旺食品有限公司,,,,
2739,河南平煤神马尼龙工程技术有限公司,,,,
2740,孟州市东瑞机械设备有限公司,,,,
2741,河南天鉴金刚石工业有限公司,,,,
2742,河南国泰新点软件有限公司,,,,
2743,郑州迈拓信息技术有限公司,,,,
2744,郑州聚凡科技有限公司,,,,
2745,郑州市广融包装材料有限公司,,,,
2746,河南欧洋电气设备有限公司,,,,
2747,郑州宏基研磨科技有限公司,,,,
2748,河南盘古信息技术有限公司,,,,
2749,郑州日新精密机械有限公司,,,,
2750,漯河市金蛙建材有限公司,,,,
2751,河南格润利格农林设备有限公司,,,,
2752,鲁山县昊晟新能源科技有限公司,,,,
2753,周口市华讯实业有限公司,,,,
2754,河南省康利医药技术开发有限公司,,,,
2755,漯河市双叶文具有限公司,,,,
2756,郸城县华星调味品有限公司,,,,
2757,河南良日供应链管理有限公司,,,,
2758,鹤壁市诺信电子有限公司,,,,
2759,郑州妃她医疗科技集团有限公司,,,,
2760,河南瑞昌医疗器械制造有限公司,,,,
2761,沁阳市兆昌复合材料有限公司,,,,
2762,河南新天力循环科技有限公司,,,,
2763,南召县康信冷鲜食业有限公司,,,,
2764,河南采越软件技术股份有限公司,,,,
2765,三门峡隆诚化工有限公司,,,,
2766,郑州六如信息科技有限公司,,,,
2767,河南锐杰电子科技有限公司,,,,
2768,中建国信大数据集团有限公司,,,,
2769,河南荣博机械设备有限公司,,,,
2770,洛阳凯迅电子科技有限公司,,,,
2771,河南省聚创磨具有限公司,,,,
2772,河南中能新能源集团有限公司,,,,
2773,郑州静邦噪声振动控制工程技术有限公司,,,,
2774,郑州捷创睿软件开发有限公司,,,,
2775,河南江河特种车辆科技有限公司,,,,
2776,洛阳普达电子科技有限公司,,,,
2777,长葛市华凯蜂具有限公司,,,,
2778,河南天利热工装备股份有限公司,,,,
